Energy (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Mo S  
     -1.13823     55.83680     38.59743     17.23937
     -1.12823     58.80128     40.53646     18.26482
     -1.11823     61.98059     42.62298     19.35761
     -1.10823     65.39740     44.87208     20.52532
     -1.09823     69.10280     47.31840     21.78440
     -1.08823     73.17662     50.01544     23.16118
     -1.07823     77.74195     53.04509     24.69686
     -1.06823     82.97124     56.52229     26.44896
     -1.05823     89.04740     60.57206     28.47534
     -1.04823     96.06574     65.27164     30.79410
     -1.03823    103.93834     70.59500     33.34334
     -1.02823    112.40453     76.41715     35.98738
     -1.01823    121.09008     82.52698     38.56310
     -1.00823    129.38384     88.49785     40.88598
     -0.99823    136.14178     93.45855     42.68323
     -0.98823    139.75848     96.17351     43.58497
     -0.97823    139.02819     95.71366     43.31452
     -0.96823    134.16588     92.22062     41.94526
     -0.95823    126.85185     86.92644     39.92541
     -0.94823    119.17801     81.36389     37.81412
     -0.93823    112.52387     76.54221     35.98165
     -0.92823    107.23488     72.72103     34.51384
     -0.91823    103.04151     69.71359     33.32791
     -0.90823     99.60794     67.27350     32.33444
     -0.89823     96.75450     65.25709     31.49741
     -0.88823     94.36014     63.56982     30.79033
     -0.87823     92.25145     62.09438     30.15707
     -0.86823     90.28232     60.73531     29.54701
     -0.85823     88.44686     59.48455     28.96231
     -0.84823     86.80043     58.36831     28.43212
     -0.83823     85.32396     57.36757     27.95639
     -0.82823     83.95161     56.44422     27.50739
     -0.81823     82.64543     55.58001     27.06541
     -0.80823     81.38286     54.75380     26.62906
     -0.79823     80.17344     53.96092     26.21251
     -0.78823     79.08627     53.25007     25.83620
     -0.77823     78.13144     52.63859     25.49285
     -0.76823     77.17448     52.03451     25.13998
     -0.75823     76.12812     51.36728     24.76084
     -0.74823     75.13091     50.72996     24.40094
     -0.73823     74.33873     50.23990     24.09882
     -0.72823     73.63665     49.82130     23.81535
     -0.71823     72.78889     49.30046     23.48843
     -0.70823     71.81505     48.68403     23.13102
     -0.69823     70.97492     48.16217     22.81275
     -0.68823     70.37422     47.81921     22.55501
     -0.67823     69.79631     47.49630     22.30001
     -0.66823     69.00460     47.01193     21.99267
     -0.65823     68.07881     46.42275     21.65606
     -0.64823     67.31839     45.95631     21.36207
     -0.63823     66.83530     45.69859     21.13671
     -0.62823     66.38065     45.45896     20.92168
     -0.61823     65.66387     45.01539     20.64848
     -0.60823     64.75871     44.42433     20.33438
     -0.59823     64.03061     43.96317     20.06743
     -0.58823     63.65737     43.76486     19.89251
     -0.57823     63.38765     43.63616     19.75148
     -0.56823     62.87169     43.30971     19.56198
     -0.55823     62.12811     42.79795     19.33016
     -0.54823     61.52701     42.38117     19.14583
     -0.53823     61.32704     42.25630     19.07075
     -0.52823     61.38441     42.31151     19.07289
     -0.51823     61.37387     42.29094     19.08293
     -0.50823     61.20689     42.11720     19.08969
     -0.49823     61.16362     41.99739     19.16623
     -0.48823     61.63655     42.22307     19.41348
     -0.47823     62.78836     42.90042     19.88794
     -0.46823     64.45343     43.87993     20.57350
     -0.45823     66.28202     44.89669     21.38533
     -0.44823     67.79080     45.65907     22.13173
     -0.43823     68.12431     45.70175     22.42256
     -0.42823     65.97939     44.28192     21.69747
     -0.41823     60.32532     40.77218     19.55313
     -0.40823     51.54232     35.36647     16.17585
     -0.39823     41.65746     29.27124     12.38622
     -0.38823     33.14619     24.00442      9.14177
     -0.37823     27.42136     20.45907      6.96229
     -0.36823     24.36386     18.57756      5.78630
     -0.35823     22.95126     17.71298      5.23829
     -0.34823     22.13617     17.18474      4.95143
     -0.33823     21.36370     16.63859      4.72510
     -0.32823     20.60452     16.08630      4.51821
     -0.31823     20.03116     15.67505      4.35611
     -0.30823     19.66402     15.42335      4.24067
     -0.29823     19.31613     15.18361      4.13252
     -0.28823     18.81871     14.82206      3.99665
     -0.27823     18.20377     14.36403      3.83974
     -0.26823     17.63478     13.93979      3.69500
     -0.25823     17.21072     13.62881      3.58191
     -0.24823     16.87853     13.38916      3.48938
     -0.23823     16.51257     13.12031      3.39226
     -0.22823     16.05013     12.77204      3.27809
     -0.21823     15.55226     12.39362      3.15864
     -0.20823     15.12927     12.07379      3.05548
     -0.19823     14.80536     11.83189      2.97347
     -0.18823     14.49173     11.59657      2.89516
     -0.17823     14.11313     11.30765      2.80548
     -0.16823     13.70888     10.99706      2.71181
     -0.15823     13.36011     10.73009      2.63002
     -0.14823     13.06683     10.50662      2.56021
     -0.13823     12.76672     10.27658      2.49014
     -0.12823     12.43759     10.02232      2.41527
     -0.11823     12.10309      9.76293      2.34017
     -0.10823     11.74909      9.48681      2.26228
     -0.09823     11.28063      9.11694      2.16369
     -0.08823     10.54247      8.52735      2.01512
     -0.07823      9.37045      7.58459      1.78585
     -0.06823      7.69568      6.23245      1.46323
     -0.05823      5.66663      4.59114      1.07549
     -0.04823      3.64231      2.95196      0.69035
     -0.03823      2.00055      1.62176      0.37879
     -0.02823      0.92405      0.74922      0.17483
     -0.01823      0.35475      0.28767      0.06708
     -0.00823      0.11223      0.09102      0.02121
      0.00177      0.02907      0.02358      0.00549
      0.01177      0.00614      0.00498      0.00116
      0.02177      0.00105      0.00085      0.00020
      0.03177      0.00015      0.00012      0.00003
      0.04177      0.00002      0.00001      0.00000
      0.05177      0.00000      0.00000      0.00000
      0.06177      0.00000      0.00000      0.00000
      0.07177      0.00000      0.00000      0.00000
      0.08177      0.00000      0.00000      0.00000
      0.09177      0.00000      0.00000      0.00000
      0.10177      0.00000      0.00000      0.00000
      0.11177      0.00000      0.00000      0.00000
      0.12177      0.00000      0.00000      0.00000
      0.13177      0.00000      0.00000      0.00000
      0.14177      0.00000      0.00000      0.00000
      0.15177      0.00000      0.00000      0.00000
      0.16177      0.00000      0.00000      0.00000
      0.17177      0.00000      0.00000      0.00000
      0.18177      0.00000      0.00000      0.00000
      0.19177      0.00000      0.00000      0.00000
      0.20177      0.00000      0.00000      0.00000
      0.21177      0.00000      0.00000      0.00000
      0.22177      0.00000      0.00000      0.00000
      0.23177      0.00000      0.00000      0.00000
      0.24177      0.00000      0.00000      0.00000
      0.25177      0.00000      0.00000      0.00000
      0.26177      0.00000      0.00000      0.00000
      0.27177      0.00000      0.00000      0.00000
