Energy (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Mo S  
     -1.06000     56.19400     38.81960     17.37440
     -1.05000     58.46528     40.30263     18.16265
     -1.04000     60.85752     41.89387     18.96365
     -1.03000     64.22951     44.13046     20.09905
     -1.02000     68.60639     47.00071     21.60568
     -1.01000     73.20098     50.00156     23.19942
     -1.00000     77.42912     52.79698     24.63214
     -0.99000     81.78074     55.73190     26.04885
     -0.98000     87.40781     59.52794     27.87988
     -0.97000     94.83346     64.48166     30.35180
     -0.96000    103.37435     70.17098     33.20337
     -0.95000    111.93405     75.99205     35.94200
     -0.94000    120.03483     81.73286     38.30197
     -0.93000    127.69223     87.36086     40.33138
     -0.92000    134.37272     92.32623     42.04650
     -0.91000    138.62425     95.44965     43.17460
     -0.90000    139.06287     95.72139     43.34148
     -0.89000    135.53852     93.10416     42.43435
     -0.88000    129.16664     88.46684     40.69980
     -0.87000    121.50312     82.94445     38.55868
     -0.86000    113.96226     77.53743     36.42483
     -0.85000    107.61661     73.00366     34.61294
     -0.84000    102.86760     69.63591     33.23170
     -0.83000     99.28919     67.13557     32.15363
     -0.82000     96.23851     65.02383     31.21468
     -0.81000     93.69349     63.23521     30.45827
     -0.80000     92.16940     62.09456     30.07484
     -0.79000     91.66719     61.62143     30.04575
     -0.78000     91.05171     61.10212     29.94959
     -0.77000     88.97384     59.67944     29.29439
     -0.76000     85.41777     57.34724     28.07053
     -0.75000     81.91853     55.08356     26.83497
     -0.74000     80.13555     53.94981     26.18574
     -0.73000     80.38549     54.16344     26.22204
     -0.72000     81.44482     54.93136     26.51346
     -0.71000     81.61201     55.08838     26.52363
     -0.70000     80.16850     54.09305     26.07545
     -0.69000     77.86419     52.44605     25.41814
     -0.68000     75.77643     50.94936     24.82708
     -0.67000     74.04402     49.77528     24.26875
     -0.66000     72.33793     48.71759     23.62034
     -0.65000     71.17414     48.09720     23.07693
     -0.64000     71.63610     48.61210     23.02400
     -0.63000     73.61240     50.13413     23.47827
     -0.62000     75.22150     51.31093     23.91056
     -0.61000     74.52728     50.78780     23.73948
     -0.60000     71.45792     48.57353     22.88439
     -0.59000     67.67676     45.91329     21.76347
     -0.58000     64.84949     44.00138     20.84811
     -0.57000     63.49591     43.16331     20.33260
