Energy (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Mo S  
     -4.48871      9.46904      3.87502      5.59403
     -4.47871      9.67876      3.95782      5.72094
     -4.46871      9.82876      4.00730      5.82146
     -4.45871      9.88814      4.00686      5.88128
     -4.44871      9.81821      3.94258      5.87563
     -4.43871      9.55117      3.79560      5.75556
     -4.42871      9.03704      3.55644      5.48059
     -4.41871      8.30421      3.24260      5.06161
     -4.40871      7.45807      2.89552      4.56255
     -4.39871      6.62021      2.55931      4.06090
     -4.38871      5.87643      2.26423      3.61220
     -4.37871      5.27170      2.02622      3.24548
     -4.36871      4.82639      1.85256      2.97383
     -4.35871      4.53918      1.74216      2.79702
     -4.34871      4.37530      1.68098      2.69432
     -4.33871      4.26174      1.64018      2.62155
     -4.32871      4.11234      1.58533      2.52701
     -4.31871      3.88090      1.49680      2.38410
     -4.30871      3.59639      1.38464      2.21175
     -4.29871      3.33322      1.27855      2.05467
     -4.28871      3.13947      1.20009      1.93938
     -4.27871      3.00198      1.14735      1.85463
     -4.26871      2.88217      1.10634      1.77583
     -4.25871      2.76631      1.06956      1.69675
     -4.24871      2.66386      1.03724      1.62662
     -4.23871      2.56778      1.00541      1.56237
     -4.22871      2.44450      0.96333      1.48117
     -4.21871      2.27253      0.90588      1.36665
     -4.20871      2.07472      0.84214      1.23258
     -4.19871      1.89847      0.78637      1.11210
     -4.18871      1.77114      0.74367      1.02748
     -4.17871      1.68655      0.70941      0.97715
     -4.16871      1.63196      0.68151      0.95045
     -4.15871      1.61672      0.66865      0.94807
     -4.14871      1.66782      0.68403      0.98379
     -4.13871      1.79347      0.73010      1.06337
     -4.12871      1.94892      0.78772      1.16119
     -4.11871      2.04632      0.82255      1.22377
     -4.10871      2.01558      0.80840      1.20718
     -4.09871      1.86401      0.74888      1.11513
     -4.08871      1.67278      0.67555      0.99723
     -4.07871      1.53272      0.62384      0.90888
     -4.06871      1.48341      0.60978      0.87363
     -4.05871      1.50629      0.62631      0.87998
     -4.04871      1.56199      0.65660      0.90539
     -4.03871      1.62504      0.68754      0.93750
     -4.02871      1.68710      0.71232      0.97478
     -4.01871      1.74507      0.72739      1.01768
     -4.00871      1.80396      0.73456      1.06939
     -3.99871      1.89106      0.74619      1.14487
     -3.98871      2.05298      0.78330      1.26968
     -3.97871      2.32858      0.86511      1.46348
     -3.96871      2.72205      0.99821      1.72383
     -3.95871      3.19812      1.17198      2.02614
     -3.94871      3.69823      1.36164      2.33659
     -3.93871      4.15842      1.53592      2.62250
     -3.92871      4.51639      1.66482      2.85157
     -3.91871      4.72113      1.72819      2.99294
     -3.90871      4.76291      1.72756      3.03535
     -3.89871      4.69801      1.69184      3.00617
     -3.88871      4.62043      1.66208      2.95835
     -3.87871      4.59636      1.66394      2.93242
     -3.86871      4.63923      1.69822      2.94101
     -3.85871      4.74968      1.75768      2.99200
     -3.84871      4.95067      1.84226      3.10841
     -3.83871      5.25959      1.95088      3.30871
     -3.82871      5.63670      2.06614      3.57056
     -3.81871      5.98978      2.16043      3.82936
     -3.80871      6.24341      2.22111      4.02229
     -3.79871      6.39484      2.26212      4.13272
     -3.78871      6.49001      2.30346      4.18655
     -3.77871      6.55099      2.34278      4.20821
     -3.76871      6.54691      2.35599      4.19092
     -3.75871      6.44451      2.32808      4.11643
     -3.74871      6.26874      2.27514      3.99359
     -3.73871      6.08806      2.22896      3.85910
     -3.72871      5.94188      2.20425      3.73763
     -3.71871      5.80312      2.18737      3.61576
     -3.70871      5.61436      2.15325      3.46111
     -3.69871      5.34281      2.08621      3.25660
     -3.68871      4.99938      1.98819      3.01118
     -3.67871      4.62955      1.87831      2.75124
     -3.66871      4.30162      1.78757      2.51406
     -3.65871      4.08489      1.74497      2.33992
     -3.64871      4.00709      1.75724      2.24985
     -3.63871      4.02405      1.79961      2.22443
     -3.62871      4.04736      1.83288      2.21448
     -3.61871      4.01499      1.83416      2.18083
     -3.60871      3.93326      1.81091      2.12235
     -3.59871      3.85776      1.78899      2.06877
     -3.58871      3.85390      1.79639      2.05751
     -3.57871      3.96943      1.85489      2.11454
     -3.56871      4.20244      1.96751      2.23493
     -3.55871      4.47109      2.10232      2.36877
     -3.54871      4.63974      2.19926      2.44048
     -3.53871      4.61418      2.21030      2.40387
     -3.52871      4.42197      2.13828      2.28369
     -3.51871      4.18724      2.03200      2.15524
     -3.50871      4.01871      1.94116      2.07755
     -3.49871      3.92508      1.87773      2.04735
     -3.48871      3.83695      1.81925      2.01770
     -3.47871      3.69619      1.74282      1.95337
     -3.46871      3.50977      1.64937      1.86039
     -3.45871      3.32189      1.55611      1.76578
     -3.44871      3.15738      1.47406      1.68332
     -3.43871      3.00819      1.40103      1.60716
     -3.42871      2.86453      1.33368      1.53085
     -3.41871      2.73943      1.27793      1.46150
     -3.40871      2.66026      1.24498      1.41528
     -3.39871      2.64474      1.24073      1.40401
     -3.38871      2.68330      1.25910      1.42420
     -3.37871      2.73578      1.28176      1.45403
     -3.36871      2.74656      1.28477      1.46179
     -3.35871      2.67638      1.25151      1.42486
     -3.34871      2.53184      1.18467      1.34717
     -3.33871      2.36736      1.10715      1.26021
     -3.32871      2.25372      1.04953      1.20418
     -3.31871      2.23644      1.03329      1.20315
     -3.30871      2.31344      1.06096      1.25248
     -3.29871      2.44027      1.11623      1.32404
     -3.28871      2.55258      1.17082      1.38176
     -3.27871      2.59536      1.19670      1.39866
     -3.26871      2.54922      1.17995      1.36927
     -3.25871      2.43778      1.12715      1.31063
     -3.24871      2.30808      1.05876      1.24932
     -3.23871      2.20094      0.99656      1.20438
     -3.22871      2.13711      0.95622      1.18090
     -3.21871      2.12155      0.94513      1.17643
     -3.20871      2.14660      0.95968      1.18692
     -3.19871      2.19008      0.98449      1.20559
     -3.18871      2.22579      1.00232      1.22347
     -3.17871      2.24482      1.00917      1.23566
     -3.16871      2.25772      1.01526      1.24246
     -3.15871      2.26926      1.02819      1.24108
     -3.14871      2.26211      1.03993      1.22218
     -3.13871      2.21551      1.03509      1.18042
     -3.12871      2.13444      1.00860      1.12584
     -3.11871      2.04931      0.97020      1.07911
     -3.10871      1.98683      0.93278      1.05405
     -3.09871      1.94814      0.90147      1.04667
     -3.08871      1.91671      0.87507      1.04165
     -3.07871      1.88124      0.85322      1.02802
     -3.06871      1.84762      0.83910      1.00852
     -3.05871      1.83224      0.83616      0.99609
     -3.04871      1.84926      0.84504      1.00421
     -3.03871      1.90151      0.86331      1.03820
     -3.02871      1.97430      0.88534      1.08896
     -3.01871      2.03628      0.90278      1.13350
     -3.00871      2.05631      0.90834      1.14796
     -2.99871      2.02673      0.90084      1.12589
     -2.98871      1.97001      0.88571      1.08431
     -2.97871      1.92083      0.87001      1.05082
     -2.96871      1.90271      0.85751      1.04520
     -2.95871      1.92417      0.85090      1.07327
     -2.94871      1.99032      0.85712      1.13320
     -2.93871      2.10324      0.88418      1.21907
     -2.92871      2.24824      0.93048      1.31775
     -2.91871      2.39142      0.98148      1.40994
     -2.90871      2.49906      1.01945      1.47961
     -2.89871      2.56002      1.03629      1.52373
     -2.88871      2.59215      1.03859      1.55357
     -2.87871      2.62741      1.04139      1.58602
     -2.86871      2.68506      1.05499      1.63007
     -2.85871      2.75401      1.07495      1.67905
     -2.84871      2.79989      1.08422      1.71566
     -2.83871      2.79440      1.06730      1.72710
     -2.82871      2.74340      1.02567      1.71772
     -2.81871      2.68392      0.97816      1.70576
     -2.80871      2.65157      0.94402      1.70755
     -2.79871      2.65735      0.92822      1.72913
     -2.78871      2.69453      0.92375      1.77078
     -2.77871      2.75015      0.92222      1.82793
     -2.76871      2.80631      0.92022      1.88609
     -2.75871      2.85627      0.92530      1.93097
     -2.74871      2.93674      0.96243      1.97431
     -2.73871      3.13046      1.06572      2.06474
     -2.72871      3.52370      1.25176      2.27194
     -2.71871      4.16789      1.50165      2.66624
     -2.70871      5.06973      1.77341      3.29632
     -2.69871      6.16469      2.02553      4.13916
     -2.68871      7.26532      2.22260      5.04272
     -2.67871      8.08359      2.33108      5.75250
     -2.66871      8.39059      2.33195      6.05864
     -2.65871      8.18628      2.24286      5.94342
     -2.64871      7.68974      2.11546      5.57427
     -2.63871      7.16009      2.00185      5.15824
     -2.62871      6.74539      1.92539      4.82000
     -2.61871      6.47379      1.88249      4.59130
     -2.60871      6.31115      1.86068      4.45047
     -2.59871      6.19318      1.84735      4.34583
     -2.58871      6.04991      1.83025      4.21966
     -2.57871      5.85261      1.80293      4.04968
     -2.56871      5.63282      1.76849      3.86433
     -2.55871      5.43396      1.72998      3.70398
     -2.54871      5.25760      1.68059      3.57701
     -2.53871      5.08148      1.61419      3.46729
     -2.52871      4.91808      1.54477      3.37331
     -2.51871      4.82223      1.50436      3.31788
     -2.50871      4.82961      1.51554      3.31407
     -2.49871      4.90548      1.56849      3.33700
     -2.48871      4.97257      1.62796      3.34461
     -2.47871      4.98492      1.66229      3.32263
     -2.46871      4.95908      1.66458      3.29450
     -2.45871      4.93883      1.64993      3.28890
     -2.44871      4.95340      1.64032      3.31308
     -2.43871      5.00936      1.65287      3.35649
     -2.42871      5.09204      1.69121      3.40083
     -2.41871      5.15983      1.73879      3.42104
     -2.40871      5.16023      1.76626      3.39397
     -2.39871      5.07611      1.75558      3.32053
     -2.38871      4.95388      1.71745      3.23644
     -2.37871      4.87436      1.68256      3.19181
     -2.36871      4.89248      1.67832      3.21416
     -2.35871      5.00444      1.71507      3.28938
     -2.34871      5.16894      1.78821      3.38073
     -2.33871      5.35160      1.88591      3.46569
     -2.32871      5.53869      1.99212      3.54657
     -2.31871      5.71284      2.08701      3.62583
     -2.30871      5.84066      2.15284      3.68782
     -2.29871      5.89784      2.18334      3.71450
     -2.28871      5.89009      2.18425      3.70584
     -2.27871      5.83550      2.16358      3.67191
     -2.26871      5.73633      2.12400      3.61233
     -2.25871      5.57875      2.06223      3.51652
     -2.24871      5.35703      1.97240      3.38463
     -2.23871      5.09613      1.85450      3.24163
     -2.22871      4.85432      1.72613      3.12818
     -2.21871      4.70286      1.62311      3.07975
     -2.20871      4.69271      1.57996      3.11275
     -2.19871      4.82072      1.60308      3.21764
     -2.18871      5.00472      1.65678      3.34793
     -2.17871      5.09435      1.67538      3.41897
     -2.16871      4.94572      1.60153      3.34419
     -2.15871      4.52147      1.42808      3.09338
     -2.14871      3.92408      1.20622      2.71786
     -2.13871      3.33545      1.01196      2.32348
     -2.12871      2.92823      0.90384      2.02439
     -2.11871      2.80293      0.90121      1.90172
     -2.10871      2.95227      0.98269      1.96957
     -2.09871      3.26079      1.09661      2.16418
     -2.08871      3.56331      1.18379      2.37952
     -2.07871      3.74291      1.20871      2.53419
     -2.06871      3.79029      1.17803      2.61226
     -2.05871      3.76670      1.12679      2.63992
     -2.04871      3.71656      1.08350      2.63306
     -2.03871      3.63340      1.05098      2.58242
     -2.02871      3.50695      1.02093      2.48602
     -2.01871      3.37361      0.99777      2.37584
     -2.00871      3.30108      0.99889      2.30220
     -1.99871      3.33174      1.03267      2.29908
     -1.98871      3.45291      1.08365      2.36926
     -1.97871      3.61367      1.12191      2.49176
     -1.96871      3.75602      1.12507      2.63095
     -1.95871      3.83473      1.09168      2.74305
     -1.94871      3.82502      1.03688      2.78814
     -1.93871      3.72223      0.97747      2.74476
     -1.92871      3.54106      0.92212      2.61895
     -1.91871      3.32235      0.87514      2.44722
     -1.90871      3.13459      0.84441      2.29018
     -1.89871      3.04985      0.83932      2.21053
     -1.88871      3.10411      0.86052      2.24360
     -1.87871      3.27598      0.89552      2.38046
     -1.86871      3.49744      0.92601      2.57143
     -1.85871      3.68342      0.93831      2.74511
     -1.84871      3.76625      0.92849      2.83777
     -1.83871      3.72612      0.90145      2.82467
     -1.82871      3.60204      0.86751      2.73453
     -1.81871      3.47062      0.83804      2.63258
     -1.80871      3.40429      0.82139      2.58290
     -1.79871      3.44000      0.82178      2.61823
     -1.78871      3.57993      0.84248      2.73745
     -1.77871      3.81626      0.88977      2.92649
     -1.76871      4.15024      0.97192      3.17831
     -1.75871      4.57669      1.09060      3.48609
     -1.74871      5.03996      1.22899      3.81097
     -1.73871      5.41314      1.34823      4.06490
     -1.72871      5.54852      1.40292      4.14560
     -1.71871      5.36978      1.36864      4.00115
     -1.70871      4.91776      1.25717      3.66059
     -1.69871      4.31004      1.10488      3.20516
     -1.68871      3.66657      0.94788      2.71870
     -1.67871      3.06777      0.80674      2.26104
     -1.66871      2.55268      0.68647      1.86621
     -1.65871      2.12972      0.58341      1.54631
     -1.64871      1.78685      0.49189      1.29496
     -1.63871      1.50534      0.40920      1.09614
     -1.62871      1.27583      0.33751      0.93831
     -1.61871      1.10452      0.28176      0.82275
     -1.60871      1.00248      0.24513      0.75736
     -1.59871      0.96723      0.22577      0.74146
     -1.58871      0.97307      0.21679      0.75629
     -1.57871      0.97917      0.20903      0.77014
     -1.56871      0.95089      0.19545      0.75544
     -1.55871      0.87826      0.17433      0.70393
     -1.54871      0.77352      0.14846      0.62506
     -1.53871      0.65078      0.12103      0.52975
     -1.52871      0.51428      0.09315      0.42113
     -1.51871      0.36861      0.06547      0.30315
     -1.50871      0.23065      0.04041      0.19024
     -1.49871      0.12226      0.02123      0.10103
     -1.48871      0.05382      0.00929      0.04454
     -1.47871      0.01944      0.00334      0.01610
