Energy (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Mo S  
     -3.56000      0.01265      0.00475      0.00790
     -3.55000      0.35349      0.13287      0.22062
     -3.54000      1.61621      0.60969      1.00652
     -3.53000      1.63805      0.63435      1.00370
     -3.52000      1.78488      0.76951      1.01537
     -3.51000      2.31689      1.06320      1.25369
     -3.50000      1.63646      0.73117      0.90528
     -3.49000      0.38266      0.15314      0.22952
     -3.48000      0.49037      0.17623      0.31413
     -3.47000      0.22906      0.08221      0.14686
     -3.46000      0.01480      0.00534      0.00946
     -3.45000      0.02134      0.01186      0.00948
     -3.44000      0.39789      0.22055      0.17734
     -3.43000      1.20284      0.62631      0.57653
     -3.42000      1.59960      0.64476      0.95484
     -3.41000      1.38285      0.51280      0.87005
     -3.40000      1.77003      0.64592      1.12411
     -3.39000      2.36560      0.85214      1.51346
     -3.38000      2.09006      0.78587      1.30419
     -3.37000      2.59249      1.08911      1.50338
     -3.36000      2.60978      1.12636      1.48342
     -3.35000      1.75114      0.66848      1.08266
     -3.34000      0.99185      0.42832      0.56353
     -3.33000      1.66067      0.80868      0.85199
     -3.32000      2.18246      0.93189      1.25057
     -3.31000      3.75160      1.43587      2.31573
     -3.30000      2.83291      1.03305      1.79986
     -3.29000      1.49876      0.59225      0.90651
     -3.28000      2.65068      1.09912      1.55156
     -3.27000      2.84500      1.05773      1.78726
     -3.26000      2.98798      1.02899      1.95898
     -3.25000      2.90587      1.08689      1.81898
     -3.24000      4.16065      1.65230      2.50835
     -3.23000      5.80758      2.26492      3.54266
     -3.22000      2.50961      0.94290      1.56671
     -3.21000      3.14232      1.20898      1.93334
     -3.20000      6.91685      2.58920      4.32765
     -3.19000      4.74566      1.82624      2.91942
     -3.18000      2.66707      1.11759      1.54948
     -3.17000      3.42390      1.49258      1.93132
     -3.16000      3.24138      1.48117      1.76021
     -3.15000      3.21221      1.41781      1.79440
     -3.14000      3.42725      1.47471      1.95253
     -3.13000      5.07337      2.14050      2.93287
     -3.12000      5.83822      2.56440      3.27383
     -3.11000      4.13079      1.89389      2.23690
     -3.10000      1.81942      0.66191      1.15751
     -3.09000      2.08423      0.72650      1.35773
     -3.08000      2.51180      1.16920      1.34260
     -3.07000      1.67433      0.83167      0.84266
     -3.06000      2.09598      0.96109      1.13490
     -3.05000      2.32740      1.00518      1.32223
     -3.04000      2.26286      1.10749      1.15537
     -3.03000      2.37351      1.28176      1.09175
     -3.02000      1.95464      0.90372      1.05092
     -3.01000      1.43758      0.42446      1.01313
     -3.00000      1.18714      0.48631      0.70083
     -2.99000      2.02498      0.98871      1.03627
     -2.98000      1.44048      0.57582      0.86466
     -2.97000      2.45595      1.01094      1.44501
     -2.96000      2.44195      1.14787      1.29408
     -2.95000      1.32381      0.62227      0.70154
     -2.94000      2.09980      0.86642      1.23338
     -2.93000      2.67001      1.08598      1.58403
     -2.92000      1.24985      0.54448      0.70537
     -2.91000      0.13481      0.06391      0.07090
     -2.90000      0.32673      0.17859      0.14814
     -2.89000      0.74760      0.40384      0.34376
     -2.88000      1.47315      0.73631      0.73684
     -2.87000      2.02486      0.91659      1.10828
     -2.86000      1.60510      0.86790      0.73720
     -2.85000      1.34124      0.76995      0.57129
     -2.84000      0.98766      0.50529      0.48237
     -2.83000      0.18885      0.09454      0.09431
     -2.82000      0.00526      0.00263      0.00263
     -2.81000      0.00021      0.00011      0.00010
     -2.80000      0.02465      0.01323      0.01142
     -2.79000      0.42231      0.22662      0.19569
     -2.78000      0.98821      0.52978      0.45843
     -2.77000      0.59733      0.30219      0.29514
     -2.76000      1.34050      0.61427      0.72624
     -2.75000      1.27636      0.54408      0.73228
     -2.74000      1.59391      0.69341      0.90050
     -2.73000      1.41632      0.68288      0.73343
     -2.72000      1.07360      0.56943      0.50417
     -2.71000      1.74911      1.02382      0.72529
     -2.70000      0.82373      0.51809      0.30564
     -2.69000      0.55734      0.25529      0.30205
     -2.68000      2.47095      0.86498      1.60598
     -2.67000      3.78307      1.34724      2.43583
     -2.66000      2.37308      0.88150      1.49157
     -2.65000      1.57778      0.53973      1.03804
     -2.64000      0.71063      0.26212      0.44852
     -2.63000      0.85209      0.43523      0.41685
     -2.62000      0.74399      0.38512      0.35887
     -2.61000      0.62919      0.28016      0.34903
     -2.60000      2.17496      0.91574      1.25922
     -2.59000      1.45821      0.59042      0.86779
     -2.58000      0.16870      0.06614      0.10256
     -2.57000      0.08658      0.04431      0.04227
     -2.56000      0.75533      0.39452      0.36081
     -2.55000      1.48637      0.82379      0.66258
     -2.54000      1.56269      0.89973      0.66296
     -2.53000      0.45520      0.25694      0.19826
     -2.52000      0.03843      0.02318      0.01525
     -2.51000      0.32779      0.20013      0.12766
     -2.50000      1.19806      0.62162      0.57644
     -2.49000      1.02360      0.47548      0.54812
     -2.48000      0.60181      0.36814      0.23367
     -2.47000      0.90271      0.50333      0.39938
     -2.46000      1.68845      0.73248      0.95597
     -2.45000      1.08348      0.38465      0.69883
     -2.44000      0.32759      0.16882      0.15877
     -2.43000      1.03507      0.67624      0.35883
     -2.42000      1.12466      0.69187      0.43278
     -2.41000      0.91350      0.53462      0.37888
     -2.40000      1.47214      0.85173      0.62041
     -2.39000      0.49857      0.28133      0.21724
     -2.38000      0.49729      0.22278      0.27451
     -2.37000      2.45280      0.99452      1.45828
     -2.36000      3.70741      1.54617      2.16124
     -2.35000      2.52972      1.18907      1.34064
     -2.34000      0.85513      0.33132      0.52380
     -2.33000      0.39024      0.11077      0.27948
     -2.32000      0.04852      0.01343      0.03510
     -2.31000      0.00366      0.00205      0.00161
     -2.30000      0.13102      0.08457      0.04645
     -2.29000      0.82695      0.53331      0.29364
     -2.28000      0.80758      0.48916      0.31842
     -2.27000      1.21439      0.50164      0.71275
     -2.26000      2.49776      1.17583      1.32192
     -2.25000      2.43077      1.19375      1.23702
     -2.24000      0.77879      0.37552      0.40327
     -2.23000      0.06709      0.03612      0.03098
     -2.22000      0.36641      0.21080      0.15561
     -2.21000      1.25040      0.56583      0.68457
     -2.20000      1.50273      0.62690      0.87583
     -2.19000      0.72708      0.32900      0.39807
     -2.18000      0.81148      0.37514      0.43634
     -2.17000      1.44621      0.65807      0.78814
     -2.16000      1.11429      0.48542      0.62887
     -2.15000      1.48945      0.74183      0.74762
     -2.14000      1.17792      0.59255      0.58537
     -2.13000      1.27674      0.67956      0.59718
     -2.12000      0.91305      0.48566      0.42739
     -2.11000      1.15794      0.46170      0.69624
     -2.10000      3.51196      1.43235      2.07962
     -2.09000      3.41668      1.43432      1.98236
     -2.08000      2.60258      1.09867      1.50391
