Energy (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Mo S  
     -2.98617      0.51247      0.69341      0.90050
     -2.97617      1.47394      0.68288      0.73343
     -2.96617      0.59963      0.56943      0.50417
     -2.95617      0.60224      1.02382      0.72529
     -2.94617      2.24787      0.51809      0.30564
     -2.93617      1.61846      0.25529      0.30205
     -2.92617      0.96923      0.86498      1.60598
     -2.91617      1.91969      1.34724      2.43583
     -2.90617      1.35900      0.88150      1.49157
     -2.89617      0.88678      0.53973      1.03804
     -2.88617      1.01754      0.26212      0.44852
     -2.87617      1.05796      0.43523      0.41685
     -2.86617      0.54372      0.38512      0.35887
     -2.85617      0.47589      0.28016      0.34903
     -2.84617      1.75335      0.91574      1.25922
     -2.83617      1.81939      0.59042      0.86779
     -2.82617      0.32067      0.06614      0.10256
     -2.81617      0.19676      0.04431      0.04227
     -2.80617      1.19104      0.39452      0.36081
     -2.79617      1.59104      0.82379      0.66258
     -2.78617      0.63691      0.89973      0.66296
     -2.77617      1.37532      0.25694      0.19826
     -2.76617      1.92593      0.02318      0.01525
     -2.75617      1.44878      0.20013      0.12766
     -2.74617      1.07250      0.62162      0.57644
     -2.73617      0.18178      0.47548      0.54812
     -2.72617      0.36853      0.36814      0.23367
     -2.71617      1.03822      0.50333      0.39938
     -2.70617      1.04454      0.73248      0.95597
     -2.69617      1.60790      0.38465      0.69883
     -2.68617      1.74796      0.16882      0.15877
     -2.67617      1.95569      0.67624      0.35883
     -2.66617      2.74771      0.69187      0.43278
     -2.65617      3.12033      0.53462      0.37888
     -2.64617      2.25628      0.85173      0.62041
     -2.63617      1.71885      0.28133      0.21724
     -2.62617      1.21017      0.22278      0.27451
     -2.61617      0.90817      0.99452      1.45828
     -2.60617      3.61660      1.54617      2.16124
     -2.59617      5.42629      1.18907      1.34064
     -2.58617      3.93800      0.33132      0.52380
     -2.57617      5.60815      0.11077      0.27948
     -2.56617      5.34720      0.01343      0.03510
     -2.55617      5.02641      0.00205      0.00161
     -2.54617      2.88656      0.08457      0.04645
     -2.53617      2.26226      0.53331      0.29364
     -2.52617      3.62645      0.48916      0.31842
     -2.51617      3.61095      0.50164      0.71275
     -2.50617      1.56046      1.17583      1.32192
     -2.49617      1.31957      1.19375      1.23702
     -2.48617      2.32881      0.37552      0.40327
     -2.47617      4.18579      0.03612      0.03098
     -2.46617      4.08201      0.21080      0.15561
     -2.45617      2.26133      0.56583      0.68457
     -2.44617      3.41668      0.62690      0.87583
     -2.43617      3.20405      0.32900      0.39807
     -2.42617      1.41511      0.37514      0.43634
     -2.41617      2.16648      0.65807      0.78814
     -2.40617      3.33555      0.48542      0.62887
     -2.39617      2.83926      0.74183      0.74762
     -2.38617      1.90852      0.59255      0.58537
     -2.37617      1.46904      0.67956      0.59718
     -2.36617      2.00020      0.48566      0.42739
     -2.35617      2.80624      0.46170      0.69624
     -2.34617      2.11350      1.43235      2.07962
     -2.33617      1.21075      1.43432      1.98236
     -2.32617      1.90044      1.09867      1.50391
     -2.31617      2.83690      1.33074      1.73549
     -2.30617      2.31235      0.74859      1.56153
     -2.29617      2.51918      0.75678      2.18790
     -2.28617      3.29698      0.66498      1.89229
     -2.27617      1.99485      0.95574      1.64308
     -2.26617      3.01942      1.61134      2.14627
     -2.25617      4.52624      0.53949      0.81679
     -2.24617      3.97325      0.55821      1.30458
     -2.23617      3.51671      0.69717      1.15859
     -2.22617      2.23291      0.40317      0.85593
     -2.21617      1.89533      0.73233      2.11562
     -2.20617      1.92937      1.08625      2.90933
     -2.19617      2.69595      1.69371      4.60089
     -2.18617      2.16973      1.20742      2.85931
     -2.17617      1.38778      1.02282      2.75234
     -2.16617      1.18644      1.19544      3.40369
     -2.15617      1.82798      0.60650      1.89105
     -2.14617      3.21735      0.31433      0.72922
     -2.13617      2.51574      1.29410      1.75818
     -2.12617      1.43797      1.63540      2.91452
     -2.11617      2.41244      0.85521      2.17790
     -2.10617      2.24105      0.78700      1.66612
     -2.09617      0.60684      0.83352      1.53156
     -2.08617      0.57384      0.77296      1.92648
     -2.07617      2.03289      1.27713      2.72562
     -2.06617      1.94077      1.48251      2.55277
     -2.05617      1.10126      1.19343      3.10242
     -2.04617      1.11733      1.42528      3.57821
     -2.03617      4.10429      2.03616      2.97042
     -2.02617      7.56482      0.82195      0.93861
     -2.01617      6.08529      0.05533      0.05726
     -2.00617      5.64382      0.01315      0.02143
     -1.99617      2.96512      0.29978      0.58477
     -1.98617      0.84637      1.11683      2.77286
     -1.97617      0.08454      0.89175      2.72791
     -1.96617      0.19962      0.57486      1.04954
     -1.95617      1.04068      0.34069      0.87691
     -1.94617      1.25383      0.25061      1.11377
     -1.93617      1.04512      0.22862      0.54472
     -1.92617      1.53110      0.46530      0.59354
     -1.91617      1.63910      0.47669      0.83453
     -1.90617      1.75080      1.09285      1.76307
     -1.89617      1.53456      1.02072      1.31263
     -1.88617      1.09716      0.70944      1.48705
     -1.87617      1.08887      0.42644      1.17142
     -1.86617      1.90150      0.34441      1.76594
     -1.85617      2.01788      0.83313      2.71031
     -1.84617      0.89712      1.65441      3.30696
     -1.83617      1.62397      0.93334      2.41333
     -1.82617      1.60443      0.31776      1.27251
     -1.81617      1.44192      0.35832      0.78065
     -1.80617      2.00804      0.28600      0.34984
     -1.79617      2.19420      0.48092      0.72372
     -1.78617      1.52700      0.77517      1.14661
     -1.77617      1.60966      0.44580      1.13066
     -1.76617      0.80794      0.06488      0.28637
     -1.75617      1.14836      0.09848      0.21576
     -1.74617      2.19282      0.31546      0.67514
     -1.73617      3.18685      0.21207      0.65748
     -1.72617      3.32113      0.62218      2.25855
     -1.71617      1.87299      1.40933      3.34220
     -1.70617      0.96044      0.98590      1.70952
     -1.69617      0.52410      0.44245      0.78710
     -1.68617      1.07480      0.26253      0.67293
     -1.67617      1.06872      0.08660      0.27478
     -1.66617      1.04628      0.29529      0.92046
     -1.65617      2.47903      0.31507      0.87656
     -1.64617      3.69939      0.18979      1.12685
     -1.63617      2.91637      0.28733      1.95167
     -1.62617      2.84714      0.12377      0.71792
     -1.61617      2.50983      0.31321      0.48421
     -1.60617      2.87215      0.80035      1.54511
     -1.59617      2.15933      1.10467      3.22456
     -1.58617      1.09415      0.74151      2.58049
     -1.57617      0.41690      0.19455      1.02019
     -1.56617      0.50501      0.03003      0.19487
     -1.55617      0.96878      0.04289      0.40155
     -1.54617      0.38807      0.09394      0.88195
     -1.53617      0.98530      0.05744      0.30555
     -1.52617      2.21959      0.35468      0.49730
     -1.51617      1.68253      0.58473      0.80092
     -1.50617      0.25603      0.13270      0.18244
     -1.49617      0.25861      0.02064      0.10070
     -1.48617      0.47585      0.19769      0.93147
     -1.47617      0.12116      0.49501      2.07188
     -1.46617      0.03470      0.29491      1.48057
     -1.45617      0.31551      0.09710      0.58454
     -1.44617      0.44094      0.32529      1.18029
     -1.43617      0.08340      0.68769      1.98851
     -1.42617      0.00213      0.56682      1.59314
     -1.41617      0.00001      0.23920      1.02178
     -1.40617      0.00000      0.31939      1.87020
     -1.39617      0.00000      0.19550      1.07240
     -1.38617      0.00000      0.02420      0.13692
     -1.37617      0.00000      0.11977      0.57949
     -1.36617      0.00000      0.62957      2.52081
     -1.35617      0.00000      0.79187      3.29243
     -1.34617      0.00000      0.43984      2.22190
     -1.33617      0.00000      0.14282      0.86838
     -1.32617      0.00000      0.10168      0.60712
     -1.31617      0.00000      0.23167      1.33409
     -1.30617      0.00000      0.29585      1.42548
     -1.29617      0.00000      0.36812      1.02522
     -1.28617      0.00000      0.46041      1.85047
     -1.27617      0.00000      0.41054      2.35097
     -1.26617      0.00000      0.75743      1.99713
     -1.25617      0.00000      0.76344      0.77413
     -1.24617      0.00000      0.82657      0.97105
     -1.23617      0.00000      0.85540      1.19820
     -1.22617      0.00000      0.53987      2.08064
     -1.21617      0.00000      1.07043      2.48725
     -1.20617      0.00000      1.61878      2.61883
     -1.19617      0.00000      0.55846      1.24934
     -1.18617      0.00074      0.06894      0.22730
     -1.17617      0.06621      0.00343      0.01153
     -1.16617      0.83732      0.02241      0.01175
     -1.15617      1.77486      0.38507      0.19466
     -1.14617      1.39105      1.34424      0.65760
     -1.13617      1.06577      1.44030      0.75114
     -1.12617      1.07481      1.12512      0.56094
