Energy (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Mo S  
     -3.62827      0.25752      0.09718      0.16034
     -3.61827      0.60239      0.22769      0.37470
     -3.60827      1.14437      0.43206      0.71231
     -3.59827      2.40132      0.93148      1.46983
     -3.58827      2.21721      0.96960      1.24761
     -3.57827      1.71502      0.81782      0.89720
     -3.56827      1.06236      0.46288      0.59947
     -3.55827      0.54403      0.21020      0.33383
     -3.54827      0.18896      0.07008      0.11887
     -3.53827      0.24612      0.08935      0.15676
     -3.52827      0.07822      0.02904      0.04918
     -3.51827      0.14666      0.07904      0.06762
     -3.50827      0.94602      0.49182      0.45420
     -3.49827      1.33408      0.61159      0.72249
     -3.48827      1.55593      0.58760      0.96833
     -3.47827      2.13061      0.76548      1.36513
     -3.46827      1.95232      0.69447      1.25785
     -3.45827      1.57585      0.57652      0.99934
     -3.44827      1.91457      0.77041      1.14416
     -3.43827      2.71791      1.17450      1.54341
     -3.42827      2.25177      0.90715      1.34462
     -3.41827      1.59390      0.62097      0.97292
     -3.40827      1.52384      0.70507      0.81877
     -3.39827      1.74655      0.81421      0.93234
     -3.38827      2.42085      0.93209      1.48876
     -3.37827      3.04356      1.15508      1.88848
     -3.36827      2.91493      1.08733      1.82760
     -3.35827      2.82689      1.05383      1.77307
     -3.34827      2.37690      0.90813      1.46877
     -3.33827      2.85961      1.06585      1.79376
     -3.32827      3.79222      1.30594      2.48628
     -3.31827      4.42860      1.56776      2.86084
     -3.30827      5.20576      1.97561      3.23015
     -3.29827      3.78638      1.49818      2.28820
     -3.28827      2.76016      1.04723      1.71293
     -3.27827      2.93185      1.18806      1.74379
     -3.26827      4.27906      1.73757      2.54148
     -3.25827      4.05992      1.61216      2.44776
     -3.24827      3.15976      1.23582      1.92394
     -3.23827      3.64026      1.59852      2.04175
     -3.22827      3.63392      1.63544      1.99848
     -3.21827      3.49248      1.53434      1.95814
     -3.20827      3.51560      1.50125      2.01435
     -3.19827      4.71154      2.11371      2.59783
     -3.18827      4.91146      2.26914      2.64233
     -3.17827      3.70132      1.58752      2.11380
     -3.16827      1.83251      0.65995      1.17256
     -3.15827      2.59042      1.00155      1.58886
     -3.14827      3.28249      1.40843      1.87406
     -3.13827      1.97658      0.89816      1.07842
     -3.12827      1.55980      0.71753      0.84227
     -3.11827      2.17231      1.08911      1.08321
     -3.10827      2.82626      1.35842      1.46784
